feature,model,method,sens_pct,sub_method,dir_pct,dir_abs,var_pct
state_cpi,LSTM,GradientSHAP,7.4425564,base,1.3990868,-1.56e-08,6.7033896
consumer_sentiment,LSTM,GradientSHAP,5.5145245,base,-28.298786,3.16e-07,8.081573
state_gas_price,LSTM,GradientSHAP,4.960122,base,49.806946,-5.56e-07,5.5407805
month,LSTM,GradientSHAP,4.45303,base,18.872885,-2.11e-07,3.815427
day_of_month,LSTM,GradientSHAP,3.041903,base,-11.902348,1.33e-07,2.4948363
state_snap,LSTM,GradientSHAP,2.7060177,base,29.495182,-3.29e-07,1.6236448
event_type_1,LSTM,GradientSHAP,0.9512091,base,6.6807213,-7.46e-08,0.8693032
sell_price,LSTM,GradientSHAP,0.7995574,base,16.440062,-1.84e-07,0.6251665
event_name_1,LSTM,GradientSHAP,0.53189164,base,-4.9571695,5.54e-08,0.6016877
state_ur_mom_delta,LSTM,GradientSHAP,0.022053804,base,3.089389,-3.45e-08,1.4695655
state_cpi_mom_delta,LSTM,GradientSHAP,0.006084628,base,1.0241826,-1.14e-08,0.4402721
state_gas_wow_delta,LSTM,GradientSHAP,0.004018482,base,-0.06803269,7.6e-10,0.12497861
event_name_2,LSTM,GradientSHAP,0.0,base,0.0,0.0,0.0
event_type_2,LSTM,GradientSHAP,0.0,base,0.0,0.0,0.0
day_of_week,LSTM,GradientSHAP,31.625902,baseNoCats,25.623646,-3.56e-07,16.945158
state_ur,LSTM,GradientSHAP,24.428541,baseNoCats,59.47312,-8.26e-07,31.42375
state_cpi,LSTM,GradientSHAP,10.817244,baseNoCats,9.694388,-1.35e-07,10.648977
consumer_sentiment,LSTM,GradientSHAP,7.9503016,baseNoCats,-22.976267,3.19e-07,12.92378
state_gas_price,LSTM,GradientSHAP,7.009488,baseNoCats,31.642643,-4.39e-07,8.762727
month,LSTM,GradientSHAP,6.423622,baseNoCats,5.28746,-7.34e-08,6.048963
day_of_month,LSTM,GradientSHAP,4.2564273,baseNoCats,-9.191341,1.28e-07,3.93228
state_snap,LSTM,GradientSHAP,3.9408169,baseNoCats,11.824471,-1.64e-07,2.6330886
event_type_1,LSTM,GradientSHAP,1.3822979,baseNoCats,2.8499207,-3.96e-08,1.3503815
sell_price,LSTM,GradientSHAP,1.1597333,baseNoCats,4.3292704,-6.01e-08,0.9895593
event_name_1,LSTM,GradientSHAP,0.6930576,baseNoCats,-3.5627804,4.95e-08,0.79345256
state_ur_mom_delta,LSTM,GradientSHAP,0.24260971,baseNoCats,-17.366999,2.41e-07,2.616511
state_gas_wow_delta,LSTM,GradientSHAP,0.061132584,baseNoCats,1.5447763,-2.14e-08,0.22581483
state_cpi_mom_delta,LSTM,GradientSHAP,0.008831244,baseNoCats,0.82770383,-1.15e-08,0.7055503
event_name_2,LSTM,GradientSHAP,0.0,baseNoCats,0.0,0.0,0.0
event_type_2,LSTM,GradientSHAP,0.0,baseNoCats,0.0,0.0,0.0
day_of_week,LSTM,GradientSHAP,31.732386,FOODS,-6.6077456,5.18e-08,19.360693
state_ur,LSTM,GradientSHAP,24.190832,FOODS,67.82592,-5.31e-07,31.775919
state_cpi,LSTM,GradientSHAP,10.778251,FOODS,22.560871,-1.77e-07,10.97723
consumer_sentiment,LSTM,GradientSHAP,8.27407,FOODS,-47.18366,3.7e-07,13.02704
state_gas_price,LSTM,GradientSHAP,6.518213,FOODS,49.929844,-3.91e-07,8.761462
month,LSTM,GradientSHAP,6.137954,FOODS,11.130702,-8.72e-08,5.975634
state_snap,LSTM,GradientSHAP,5.0832276,FOODS,6.9314694,-5.43e-08,2.8587506
day_of_month,LSTM,GradientSHAP,4.3960905,FOODS,-12.239607,9.59e-08,3.7511208
event_type_1,LSTM,GradientSHAP,1.3232214,FOODS,6.2981153,-4.93e-08,1.6969448
event_name_1,LSTM,GradientSHAP,0.80938566,FOODS,-0.50034314,3.92e-09,0.9787608
sell_price,LSTM,GradientSHAP,0.7516307,FOODS,1.9567457,-1.53e-08,0.65917325
state_gas_wow_delta,LSTM,GradientSHAP,0.004734076,FOODS,-0.10230448,8.01e-10,0.17727087
state_ur_mom_delta,LSTM,GradientSHAP,0.0,FOODS,0.0,0.0,0.0
state_cpi_mom_delta,LSTM,GradientSHAP,0.0,FOODS,0.0,0.0,0.0
event_type_2,LSTM,GradientSHAP,0.0,FOODS,0.0,0.0,0.0
event_name_2,LSTM,GradientSHAP,0.0,FOODS,0.0,0.0,0.0
item_category,LSTM,GradientSHAP,0.0,FOODS,0.0,0.0,0.0
day_of_week,LSTM,GradientSHAP,30.55513,HOBBIES,-13.838947,9.52e-08,15.266345
state_ur,LSTM,GradientSHAP,24.544348,HOBBIES,84.97214,-5.85e-07,30.664482
state_cpi,LSTM,GradientSHAP,10.838974,HOBBIES,18.993633,-1.31e-07,10.376412
consumer_sentiment,LSTM,GradientSHAP,8.152401,HOBBIES,-35.76211,2.46e-07,12.611336
state_gas_price,LSTM,GradientSHAP,7.179176,HOBBIES,66.52966,-4.58e-07,8.517478
month,LSTM,GradientSHAP,6.5727143,HOBBIES,-17.067858,1.17e-07,5.926403
day_of_month,LSTM,GradientSHAP,4.2745023,HOBBIES,-41.95427,2.89e-07,3.8392377
state_snap,LSTM,GradientSHAP,3.9049919,HOBBIES,-2.7836676,1.92e-08,2.504347
sell_price,LSTM,GradientSHAP,1.610654,HOBBIES,9.50668,-6.54e-08,1.2519329
event_type_1,LSTM,GradientSHAP,1.3734956,HOBBIES,7.7984614,-5.37e-08,1.2597978
event_name_1,LSTM,GradientSHAP,0.7141366,HOBBIES,-3.0615668,2.11e-08,0.8501386
state_ur_mom_delta,LSTM,GradientSHAP,0.19140354,HOBBIES,24.276564,-1.67e-07,5.186297
state_cpi_mom_delta,LSTM,GradientSHAP,0.08245878,HOBBIES,2.4518178,-1.69e-08,1.5676655
state_gas_wow_delta,LSTM,GradientSHAP,0.005607305,HOBBIES,-0.060528748,4.16e-10,0.17813309
event_type_2,LSTM,GradientSHAP,0.0,HOBBIES,0.0,0.0,0.0
event_name_2,LSTM,GradientSHAP,0.0,HOBBIES,0.0,0.0,0.0
item_category,LSTM,GradientSHAP,0.0,HOBBIES,0.0,0.0,0.0
day_of_week,LSTM,GradientSHAP,32.328884,HOUSEHOLD,321.47467,7.78e-07,16.161613
state_ur,LSTM,GradientSHAP,24.653755,HOUSEHOLD,-319.43466,-7.73e-07,32.409496
state_cpi,LSTM,GradientSHAP,10.335602,HOUSEHOLD,-27.101025,-6.56e-08,11.104982
consumer_sentiment,LSTM,GradientSHAP,8.00175,HOUSEHOLD,134.10384,3.25e-07,13.1153
state_gas_price,LSTM,GradientSHAP,7.4170737,HOUSEHOLD,-82.44878,-2e-07,9.568667
month,LSTM,GradientSHAP,6.5901012,HOUSEHOLD,36.927776,8.94e-08,6.486744
day_of_month,LSTM,GradientSHAP,4.4927793,HOUSEHOLD,131.35196,3.18e-07,4.5844836
state_snap,LSTM,GradientSHAP,2.6094747,HOUSEHOLD,-5.5838575,-1.35e-08,2.1697278
event_type_1,LSTM,GradientSHAP,1.5914295,HOUSEHOLD,15.724273,3.81e-08,1.4958462
sell_price,LSTM,GradientSHAP,1.1087615,HOUSEHOLD,-81.19542,-1.97e-07,1.0744364
event_name_1,LSTM,GradientSHAP,0.86282873,HOUSEHOLD,-23.904327,-5.79e-08,1.5913941
state_gas_wow_delta,LSTM,GradientSHAP,0.007560002,HOUSEHOLD,0.08555567,2.07e-10,0.23729858
state_ur_mom_delta,LSTM,GradientSHAP,0.0,HOUSEHOLD,0.0,0.0,0.0
state_cpi_mom_delta,LSTM,GradientSHAP,0.0,HOUSEHOLD,0.0,0.0,0.0
event_type_2,LSTM,GradientSHAP,0.0,HOUSEHOLD,0.0,0.0,0.0
event_name_2,LSTM,GradientSHAP,0.0,HOUSEHOLD,0.0,0.0,0.0
item_category,LSTM,GradientSHAP,0.0,HOUSEHOLD,0.0,0.0,0.0
item_category,LSTM,DeepLIFTSHAP,30.094522,base,30.608099,3.67e-06,35.258
day_of_week,LSTM,DeepLIFTSHAP,21.972094,base,-3.184278,-3.82e-07,12.2902355
state_ur,LSTM,DeepLIFTSHAP,16.109108,base,4.150017,4.98e-07,19.665955
state_cpi,LSTM,DeepLIFTSHAP,7.1677456,base,-5.2835016,-6.33e-07,6.691584
consumer_sentiment,LSTM,DeepLIFTSHAP,5.2409506,base,7.027176,8.43e-07,7.989408
state_gas_price,LSTM,DeepLIFTSHAP,4.93456,base,-7.960358,-9.54e-07,5.4553723
month,LSTM,DeepLIFTSHAP,4.278469,base,-6.845135,-8.21e-07,3.749067
state_snap,LSTM,DeepLIFTSHAP,3.898697,base,46.956383,5.63e-06,1.6766757
day_of_month,LSTM,DeepLIFTSHAP,3.7408092,base,29.915806,3.59e-06,2.7371368
event_type_1,LSTM,DeepLIFTSHAP,1.0536045,base,3.2814298,3.93e-07,0.9826885
sell_price,LSTM,DeepLIFTSHAP,0.7617875,base,-0.004455157,-5.34e-10,0.6373249
event_name_1,LSTM,DeepLIFTSHAP,0.7129134,base,1.6367779,1.96e-07,0.8832249
state_ur_mom_delta,LSTM,DeepLIFTSHAP,0.025281744,base,-0.2142335,-2.57e-08,1.4430146
