feature,method,sens_pct,sub_method,dir_pct,dir_abs,var_pct
event_name_2,GradientSHAP,0,HOBBIES,0,0,0
item_category,GradientSHAP,0,HOBBIES,0,0,0
day_of_week,GradientSHAP,32.328884,HOUSEHOLD,321.47467,7.78E-07,16.161613
state_ur,GradientSHAP,24.653755,HOUSEHOLD,-319.43466,-7.73E-07,32.409496
state_cpi,GradientSHAP,10.335602,HOUSEHOLD,-27.101025,-6.56E-08,11.104982
consumer_sentiment,GradientSHAP,8.00175,HOUSEHOLD,134.10384,3.25E-07,13.1153
state_gas_price,GradientSHAP,7.4170737,HOUSEHOLD,-82.44878,-2.00E-07,9.568667
month,GradientSHAP,6.5901012,HOUSEHOLD,36.927776,8.94E-08,6.486744
day_of_month,GradientSHAP,4.4927793,HOUSEHOLD,131.35196,3.18E-07,4.5844836
state_snap,GradientSHAP,2.6094747,HOUSEHOLD,-5.5838575,-1.35E-08,2.1697278
event_type_1,GradientSHAP,1.5914295,HOUSEHOLD,15.724273,3.81E-08,1.4958462
sell_price,GradientSHAP,1.1087615,HOUSEHOLD,-81.19542,-1.97E-07,1.0744364
event_name_1,GradientSHAP,0.86282873,HOUSEHOLD,-23.904327,-5.79E-08,1.5913941
state_gas_wow_delta,GradientSHAP,0.007560002,HOUSEHOLD,0.08555567,2.07E-10,0.23729858
state_ur_mom_delta,GradientSHAP,0,HOUSEHOLD,0,0,0
state_cpi_mom_delta,GradientSHAP,0,HOUSEHOLD,0,0,0
event_type_2,GradientSHAP,0,HOUSEHOLD,0,0,0
event_name_2,GradientSHAP,0,HOUSEHOLD,0,0,0
item_category,GradientSHAP,0,HOUSEHOLD,0,0,0
item_category,DeepLIFTSHAP,30.094522,base,30.608099,3.67E-06,35.258
day_of_week,DeepLIFTSHAP,21.972094,base,-3.184278,-3.82E-07,12.2902355
state_ur,DeepLIFTSHAP,16.109108,base,4.150017,4.98E-07,19.665955
state_cpi,DeepLIFTSHAP,7.1677456,base,-5.2835016,-6.33E-07,6.691584
